Representatives, Diversity_covered
2, 28.18
3, 37.81
4, 43.24
5, 46.85
6, 49.43
7, 51.51
8, 53.45
9, 54.29
10, 55.10
11, 55.88
12, 56.61
13, 57.32
14, 58.02
15, 58.69
16, 59.28
17, 59.83
18, 60.37
19, 60.86
20, 61.35
21, 61.82
22, 62.28
23, 62.69
24, 63.08
25, 63.46
26, 63.84
27, 64.21
28, 64.58
29, 64.92
30, 65.26
31, 65.60
32, 65.90
33, 66.21
34, 66.48
35, 66.76
36, 67.01
37, 67.26
38, 67.49
39, 67.72
40, 67.94
41, 68.16
42, 68.36
43, 68.57
44, 68.78
45, 68.98
46, 69.17
47, 69.36
48, 69.53
49, 69.71
50, 69.88
51, 70.05
52, 70.22
53, 70.39
54, 70.55
55, 70.72
56, 70.88
57, 71.03
58, 71.18
59, 71.32
60, 71.47
61, 71.61
62, 71.75
63, 71.88
64, 72.01
65, 72.14
66, 72.27
67, 72.40
68, 72.52
69, 72.65
70, 72.77
71, 72.90
72, 73.01
73, 73.12
74, 73.23
75, 73.34
76, 73.45
77, 73.56
78, 73.66
79, 73.77
80, 73.87
81, 73.97
82, 74.07
83, 74.17
84, 74.27
85, 74.37
86, 74.47
87, 74.56
88, 74.65
89, 74.75
90, 74.84
91, 74.92
92, 75.01
93, 75.10
94, 75.18
95, 75.26
96, 75.34
97, 75.42
98, 75.50
99, 75.58
100, 75.66
101, 75.73
102, 75.81
103, 75.88
104, 75.96
105, 76.03
106, 76.10
107, 76.17
108, 76.24
109, 76.31
110, 76.37
111, 76.44
112, 76.51
113, 76.57
114, 76.63
115, 76.69
116, 76.75
117, 76.81
118, 76.87
119, 76.93
120, 76.99
121, 77.04
122, 77.10
123, 77.15
124, 77.21
125, 77.26
126, 77.32
127, 77.37
128, 77.42
129, 77.47
130, 77.52
131, 77.57
132, 77.62
133, 77.68
134, 77.73
135, 77.78
136, 77.83
137, 77.87
138, 77.92
139, 77.97
140, 78.02
141, 78.07
142, 78.12
143, 78.16
144, 78.21
145, 78.26
146, 78.30
147, 78.35
148, 78.39
149, 78.44
150, 78.48
151, 78.53
152, 78.58
153, 78.62
154, 78.66
155, 78.71
156, 78.75
157, 78.80
158, 78.84
159, 78.89
160, 78.93
161, 78.97
162, 79.01
163, 79.06
164, 79.10
165, 79.14
166, 79.18
167, 79.22
168, 79.26
169, 79.30
170, 79.34
171, 79.38
172, 79.42
173, 79.46
174, 79.50
175, 79.54
176, 79.57
177, 79.61
178, 79.65
179, 79.69
180, 79.73
181, 79.76
182, 79.80
183, 79.84
184, 79.87
185, 79.91
186, 79.95
187, 79.98
188, 80.02
189, 80.06
190, 80.09
191, 80.13
192, 80.16
193, 80.20
194, 80.23
195, 80.27
196, 80.30
197, 80.34
198, 80.37
199, 80.40
200, 80.44
201, 80.47
202, 80.51
203, 80.54
204, 80.57
205, 80.61
206, 80.64
207, 80.67
208, 80.71
209, 80.74
210, 80.77
211, 80.80
212, 80.83
213, 80.86
214, 80.89
215, 80.92
216, 80.95
217, 80.98
218, 81.01
219, 81.04
220, 81.07
221, 81.10
222, 81.13
223, 81.16
224, 81.19
225, 81.22
226, 81.24
227, 81.27
228, 81.30
229, 81.33
230, 81.35
231, 81.38
232, 81.41
233, 81.44
234, 81.46
235, 81.49
236, 81.52
237, 81.54
238, 81.57
239, 81.59
240, 81.62
241, 81.65
242, 81.67
243, 81.70
244, 81.72
245, 81.75
246, 81.77
247, 81.80
248, 81.82
249, 81.85
250, 81.87
251, 81.90
252, 81.92
253, 81.95
254, 81.97
255, 82.00
256, 82.02
257, 82.05
258, 82.07
259, 82.09
260, 82.12
261, 82.14
262, 82.17
263, 82.19
264, 82.21
265, 82.24
266, 82.26
267, 82.28
268, 82.31
269, 82.33
270, 82.35
271, 82.38
272, 82.40
273, 82.42
274, 82.44
275, 82.47
276, 82.49
277, 82.51
278, 82.53
279, 82.56
280, 82.58
281, 82.60
282, 82.62
283, 82.64
284, 82.67
285, 82.69
286, 82.71
287, 82.73
288, 82.75
289, 82.77
290, 82.79
291, 82.81
292, 82.84
293, 82.86
294, 82.88
295, 82.90
296, 82.92
297, 82.94
298, 82.96
299, 82.98
300, 83.00
301, 83.02
302, 83.04
303, 83.06
304, 83.08
305, 83.10
306, 83.11
307, 83.13
308, 83.15
309, 83.17
310, 83.19
311, 83.21
312, 83.23
313, 83.25
314, 83.27
315, 83.29
316, 83.30
317, 83.32
318, 83.34
319, 83.36
320, 83.38
321, 83.40
322, 83.42
323, 83.43
324, 83.45
325, 83.47
326, 83.49
327, 83.51
328, 83.52
329, 83.54
330, 83.56
331, 83.58
332, 83.59
333, 83.61
334, 83.63
335, 83.65
336, 83.67
337, 83.68
338, 83.70
339, 83.72
340, 83.74
341, 83.75
342, 83.77
343, 83.79
344, 83.80
345, 83.82
346, 83.84
347, 83.86
348, 83.87
349, 83.89
350, 83.91
351, 83.92
352, 83.94
353, 83.96
354, 83.97
355, 83.99
356, 84.01
357, 84.02
358, 84.04
359, 84.06
360, 84.07
361, 84.09
362, 84.10
363, 84.12
364, 84.14
365, 84.15
366, 84.17
367, 84.18
368, 84.20
369, 84.21
370, 84.23
371, 84.25
372, 84.26
373, 84.28
374, 84.29
375, 84.31
376, 84.32
377, 84.34
378, 84.35
379, 84.37
380, 84.38
381, 84.40
382, 84.41
383, 84.43
384, 84.44
385, 84.45
386, 84.47
387, 84.48
388, 84.50
389, 84.51
390, 84.53
391, 84.54
392, 84.55
393, 84.57
394, 84.58
395, 84.60
396, 84.61
397, 84.63
398, 84.64
399, 84.65
400, 84.67
401, 84.68
402, 84.70
403, 84.71
404, 84.72
405, 84.74
406, 84.75
407, 84.77
408, 84.78
409, 84.79
410, 84.81
411, 84.82
412, 84.83
413, 84.85
414, 84.86
415, 84.88
416, 84.89
417, 84.90
418, 84.92
419, 84.93
420, 84.94
421, 84.96
422, 84.97
423, 84.98
424, 85.00
425, 85.01
426, 85.02
427, 85.04
428, 85.05
429, 85.06
430, 85.08
431, 85.09
432, 85.10
433, 85.11
434, 85.13
435, 85.14
436, 85.15
437, 85.17
438, 85.18
439, 85.19
440, 85.20
441, 85.22
442, 85.23
443, 85.24
444, 85.26
445, 85.27
446, 85.28
447, 85.29
448, 85.31
449, 85.32
450, 85.33
451, 85.34
452, 85.36
453, 85.37
454, 85.38
455, 85.39
456, 85.41
457, 85.42
458, 85.43
459, 85.44
460, 85.46
461, 85.47
462, 85.48
463, 85.49
464, 85.50
465, 85.52
466, 85.53
467, 85.54
468, 85.55
469, 85.57
470, 85.58
471, 85.59
472, 85.60
473, 85.61
474, 85.63
475, 85.64
476, 85.65
477, 85.66
478, 85.67
479, 85.69
480, 85.70
481, 85.71
482, 85.72
483, 85.73
484, 85.75
485, 85.76
486, 85.77
487, 85.78
488, 85.79
489, 85.80
490, 85.81
491, 85.83
492, 85.84
493, 85.85
494, 85.86
495, 85.87
496, 85.88
497, 85.89
498, 85.91
499, 85.92
500, 85.93
501, 85.94
502, 85.95
503, 85.96
504, 85.97
505, 85.98
506, 86.00
507, 86.01
508, 86.02
509, 86.03
510, 86.04
511, 86.05
512, 86.06
513, 86.07
514, 86.09
515, 86.10
516, 86.11
517, 86.12
518, 86.13
519, 86.14
520, 86.15
521, 86.16
522, 86.17
523, 86.18
524, 86.20
525, 86.21
526, 86.22
527, 86.23
528, 86.24
529, 86.25
530, 86.26
531, 86.27
532, 86.28
533, 86.29
534, 86.30
535, 86.31
536, 86.32
537, 86.34
538, 86.35
539, 86.36
540, 86.37
541, 86.38
542, 86.39
543, 86.40
544, 86.41
545, 86.42
546, 86.43
547, 86.44
548, 86.45
549, 86.46
550, 86.47
551, 86.48
552, 86.49
553, 86.50
554, 86.51
555, 86.52
556, 86.53
557, 86.54
558, 86.55
559, 86.56
560, 86.57
561, 86.58
562, 86.59
563, 86.60
564, 86.61
565, 86.62
566, 86.63
567, 86.64
568, 86.65
569, 86.66
570, 86.67
571, 86.68
572, 86.69
573, 86.70
574, 86.71
575, 86.72
576, 86.73
577, 86.74
578, 86.75
579, 86.76
580, 86.77
581, 86.78
582, 86.79
583, 86.80
584, 86.81
585, 86.82
586, 86.83
587, 86.84
588, 86.84
589, 86.85
590, 86.86
591, 86.87
592, 86.88
593, 86.89
594, 86.90
595, 86.91
596, 86.92
597, 86.93
598, 86.94
599, 86.95
600, 86.96
601, 86.96
602, 86.97
603, 86.98
604, 86.99
605, 87.00
606, 87.01
607, 87.02
608, 87.03
609, 87.04
610, 87.05
611, 87.05
612, 87.06
613, 87.07
614, 87.08
615, 87.09
616, 87.10
617, 87.11
618, 87.12
619, 87.13
620, 87.13
621, 87.14
622, 87.15
623, 87.16
624, 87.17
625, 87.18
626, 87.19
627, 87.19
628, 87.20
629, 87.21
630, 87.22
631, 87.23
632, 87.24
633, 87.25
634, 87.25
635, 87.26
636, 87.27
637, 87.28
638, 87.29
639, 87.30
640, 87.31
641, 87.31
642, 87.32
643, 87.33
644, 87.34
645, 87.35
646, 87.36
647, 87.36
648, 87.37
649, 87.38
650, 87.39
651, 87.40
652, 87.41
653, 87.41
654, 87.42
655, 87.43
656, 87.44
657, 87.45
658, 87.46
659, 87.46
660, 87.47
661, 87.48
662, 87.49
663, 87.50
664, 87.50
665, 87.51
666, 87.52
667, 87.53
668, 87.54
669, 87.54
670, 87.55
671, 87.56
672, 87.57
673, 87.58
674, 87.58
675, 87.59
676, 87.60
677, 87.61
678, 87.62
679, 87.62
680, 87.63
681, 87.64
682, 87.65
683, 87.66
684, 87.66
685, 87.67
686, 87.68
687, 87.69
688, 87.69
689, 87.70
690, 87.71
691, 87.72
692, 87.72
693, 87.73
694, 87.74
695, 87.75
696, 87.76
697, 87.76
698, 87.77
699, 87.78
700, 87.79
701, 87.79
702, 87.80
703, 87.81
704, 87.82
705, 87.82
706, 87.83
707, 87.84
708, 87.85
709, 87.85
710, 87.86
711, 87.87
712, 87.88
713, 87.88
714, 87.89
715, 87.90
716, 87.91
717, 87.91
718, 87.92
719, 87.93
720, 87.93
721, 87.94
722, 87.95
723, 87.96
724, 87.96
725, 87.97
726, 87.98
727, 87.99
728, 87.99
729, 88.00
730, 88.01
731, 88.01
732, 88.02
733, 88.03
734, 88.04
735, 88.04
736, 88.05
737, 88.06
738, 88.06
739, 88.07
740, 88.08
741, 88.09
742, 88.09
743, 88.10
744, 88.11
745, 88.11
746, 88.12
747, 88.13
748, 88.14
749, 88.14
750, 88.15
751, 88.16
752, 88.16
753, 88.17
754, 88.18
755, 88.18
756, 88.19
757, 88.20
758, 88.21
759, 88.21
760, 88.22
761, 88.23
762, 88.23
763, 88.24
764, 88.25
765, 88.25
766, 88.26
767, 88.27
768, 88.27
769, 88.28
770, 88.29
771, 88.29
772, 88.30
773, 88.31
774, 88.31
775, 88.32
776, 88.33
777, 88.33
778, 88.34
779, 88.35
780, 88.35
781, 88.36
782, 88.37
783, 88.37
784, 88.38
785, 88.39
786, 88.39
787, 88.40
788, 88.41
789, 88.41
790, 88.42
791, 88.43
792, 88.43
793, 88.44
794, 88.45
795, 88.45
796, 88.46
797, 88.47
798, 88.47
799, 88.48
800, 88.48
801, 88.49
802, 88.50
803, 88.50
804, 88.51
805, 88.52
806, 88.52
807, 88.53
808, 88.54
809, 88.54
810, 88.55
811, 88.56
812, 88.56
813, 88.57
814, 88.57
815, 88.58
816, 88.59
817, 88.59
818, 88.60
819, 88.61
820, 88.61
821, 88.62
822, 88.62
823, 88.63
824, 88.64
825, 88.64
826, 88.65
827, 88.66
828, 88.66
829, 88.67
830, 88.67
831, 88.68
832, 88.69
833, 88.69
834, 88.70
835, 88.71
836, 88.71
837, 88.72
838, 88.72
839, 88.73
840, 88.74
841, 88.74
842, 88.75
843, 88.75
844, 88.76
845, 88.77
846, 88.77
847, 88.78
848, 88.79
849, 88.79
850, 88.80
851, 88.80
852, 88.81
853, 88.82
854, 88.82
855, 88.83
856, 88.83
857, 88.84
858, 88.85
859, 88.85
860, 88.86
861, 88.86
862, 88.87
863, 88.88
864, 88.88
865, 88.89
866, 88.89
867, 88.90
868, 88.91
869, 88.91
870, 88.92
871, 88.92
872, 88.93
873, 88.93
874, 88.94
875, 88.95
876, 88.95
877, 88.96
878, 88.96
879, 88.97
880, 88.98
881, 88.98
882, 88.99
883, 88.99
884, 89.00
885, 89.00
886, 89.01
887, 89.02
888, 89.02
889, 89.03
890, 89.03
891, 89.04
892, 89.05
893, 89.05
894, 89.06
895, 89.06
896, 89.07
897, 89.07
898, 89.08
899, 89.09
900, 89.09
901, 89.10
902, 89.10
903, 89.11
904, 89.11
905, 89.12
906, 89.13
907, 89.13
908, 89.14
909, 89.14
910, 89.15
911, 89.15
912, 89.16
913, 89.16
914, 89.17
915, 89.18
916, 89.18
917, 89.19
918, 89.19
919, 89.20
920, 89.20
921, 89.21
922, 89.21
923, 89.22
924, 89.23
925, 89.23
926, 89.24
927, 89.24
928, 89.25
929, 89.25
930, 89.26
931, 89.26
932, 89.27
933, 89.27
934, 89.28
935, 89.29
936, 89.29
937, 89.30
938, 89.30
939, 89.31
940, 89.31
941, 89.32
942, 89.32
943, 89.33
944, 89.33
945, 89.34
946, 89.35
947, 89.35
948, 89.36
949, 89.36
950, 89.37
951, 89.37
952, 89.38
953, 89.38
954, 89.39
955, 89.39
956, 89.40
957, 89.40
958, 89.41
959, 89.41
960, 89.42
961, 89.43
962, 89.43
963, 89.44
964, 89.44
965, 89.45
966, 89.45
967, 89.46
968, 89.46
969, 89.47
970, 89.47
971, 89.48
972, 89.48
973, 89.49
974, 89.49
975, 89.50
976, 89.50
977, 89.51
978, 89.52
979, 89.52
980, 89.53
981, 89.53
982, 89.54
983, 89.54
984, 89.55
985, 89.55
986, 89.56
987, 89.56
988, 89.57
989, 89.57
990, 89.58
991, 89.58
992, 89.59
993, 89.59
994, 89.60
995, 89.60
996, 89.61
997, 89.61
998, 89.62
999, 89.62
1000, 89.63
